value_set_name,code_system,logical_definition,code,code_description,concept_id,concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason
TNMDistantMetastasesCategoryVS,http://cancerstaging.org,includes codes from code system http://cancerstaging.org,NA,NA,1537692,Vulvar Cancer cM1 TNM Finding by AJCC/UICC 8th edition,Measurement,NCIt,AJCC Category,S,cM1-50-8,2018-01-01,2099-12-31,NA
TNMDistantMetastasesCategoryVS,http://cancerstaging.org,includes codes from code system http://cancerstaging.org,NA,NA,1537780,Retinoblastoma cM0 TNM Finding by AJCC/UICC 8th edition,Measurement,NCIt,AJCC Category,S,cM0-68-8,2018-01-01,2099-12-31,NA
TNMDistantMetastasesCategoryVS,http://cancerstaging.org,includes codes from code system http://cancerstaging.org,NA,NA,1537798,Eyelid Carcinoma pM1 TNM Finding by AJCC/UICC 8th edition,Measurement,NCIt,AJCC Category,S,pM1-64-8,2018-01-01,2099-12-31,NA
TNMDistantMetastasesCategoryVS,http://cancerstaging.org,includes codes from code system http://cancerstaging.org,NA,NA,1537804,Uterine Corpus Leiomyosarcoma and Endometrial Stromal Sarcoma cM0 TNM Finding by AJCC/UICC 8th edition,Measurement,NCIt,AJCC Category,S,cM0-54.1-8,2018-01-01,2099-12-31,NA
TNMDistantMetastasesCategoryVS,http://cancerstaging.org,includes codes from code system http://cancerstaging.org,NA,NA,1537805,Esophagus and Esophagogastric Junction Cancer cM1 TNM Finding by AJCC/UICC 8th edition,Measurement,NCIt,AJCC Category,S,cM1-16-8,2018-01-01,2099-12-31,NA
TNMDistantMetastasesCategoryVS,http://cancerstaging.org,includes codes from code system http://cancerstaging.org,NA,NA,1537808,Duodenum and Ampulla of Vater Neuroendocrine Tumor cM1c TNM Finding by AJCC/UICC 8th edition,Measurement,NCIt,AJCC Category,S,cM1c-30-8,2018-01-01,2099-12-31,NA
TNMDistantMetastasesCategoryVS,http://cancerstaging.org,includes codes from code system http://cancerstaging.org,NA,NA,1537809,Bone Cancer pM1b TNM Finding by AJCC/UICC 8th edition,Measurement,NCIt,AJCC Category,S,pM1b-38-8,2018-01-01,2099-12-31,NA
TNMDistantMetastasesCategoryVS,http://cancerstaging.org,includes codes from code system http://cancerstaging.org,NA,NA,1537821,Merkel Cell Carcinoma pM1 TNM Finding by AJCC/UICC 8th edition,Measurement,NCIt,AJCC Category,S,pM1-46-8,2018-01-01,2099-12-31,NA
TNMDistantMetastasesCategoryVS,http://cancerstaging.org,includes codes from code system http://cancerstaging.org,NA,NA,1537827,Jejunum and Ileum Neuroendocrine Tumor cM0 TNM Finding by AJCC/UICC 8th edition,Measurement,NCIt,AJCC Category,S,cM0-31-8,2018-01-01,2099-12-31,NA
TNMDistantMetastasesCategoryVS,http://cancerstaging.org,includes codes from code system http://cancerstaging.org,NA,NA,1537830,Thymic Tumor pM1 TNM Finding by AJCC/UICC 8th edition,Measurement,NCIt,AJCC Category,S,pM1-35-8,2018-01-01,2099-12-31,NA
