value_set_name,code_system,logical_definition,code,code_description,concept_id,concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason
CancerDisorderVS,ICD-10-CM,NA,C00.0,Malignant neoplasm of external upper lip,35206047,Malignant neoplasm of external upper lip,Condition,ICD10CM,4-char billing code,NA,C00.0,2007-01-01,2099-12-31,NA
CancerDisorderVS,ICD-10-CM,NA,C00.1,Malignant neoplasm of external lower lip,35206048,Malignant neoplasm of external lower lip,Condition,ICD10CM,4-char billing code,NA,C00.1,2007-01-01,2099-12-31,NA
CancerDisorderVS,ICD-10-CM,NA,C00.2,"Malignant neoplasm of external lip, unspecified",35206049,"Malignant neoplasm of external lip, unspecified",Condition,ICD10CM,4-char billing code,NA,C00.2,2007-01-01,2099-12-31,NA
CancerDisorderVS,ICD-10-CM,NA,C00.3,"Malignant neoplasm of upper lip, inner aspect",35206050,"Malignant neoplasm of upper lip, inner aspect",Condition,ICD10CM,4-char billing code,NA,C00.3,2007-01-01,2099-12-31,NA
CancerDisorderVS,ICD-10-CM,NA,C00.4,"Malignant neoplasm of lower lip, inner aspect",35206051,"Malignant neoplasm of lower lip, inner aspect",Condition,ICD10CM,4-char billing code,NA,C00.4,2007-01-01,2099-12-31,NA
CancerDisorderVS,ICD-10-CM,NA,C00.5,"Malignant neoplasm of lip, unspecified, inner aspect",35206052,"Malignant neoplasm of lip, unspecified, inner aspect",Condition,ICD10CM,4-char billing code,NA,C00.5,2007-01-01,2099-12-31,NA
CancerDisorderVS,ICD-10-CM,NA,C00.6,"Malignant neoplasm of commissure of lip, unspecified",35206053,"Malignant neoplasm of commissure of lip, unspecified",Condition,ICD10CM,4-char billing code,NA,C00.6,2007-01-01,2099-12-31,NA
CancerDisorderVS,ICD-10-CM,NA,C00.8,Malignant neoplasm of overlapping sites of lip,35206054,Malignant neoplasm of overlapping sites of lip,Condition,ICD10CM,4-char billing code,NA,C00.8,2007-01-01,2099-12-31,NA
CancerDisorderVS,ICD-10-CM,NA,C00.9,"Malignant neoplasm of lip, unspecified",35206055,"Malignant neoplasm of lip, unspecified",Condition,ICD10CM,4-char billing code,NA,C00.9,2007-01-01,2099-12-31,NA
CancerDisorderVS,ICD-10-CM,NA,C01,Malignant neoplasm of base of tongue,35206056,Malignant neoplasm of base of tongue,Condition,ICD10CM,3-char billing code,NA,C01,2007-01-01,2099-12-31,NA
