value_set_name,code_system,logical_definition,code,code_description,concept_id,concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason
TumorMarkerTestVS,LOINC,NA,1695-6,5-Hydroxyindoleacetate [Mass/time] in 24 hour Urine,3005148,5-Hydroxyindoleacetate [Mass/time] in 24 hour Urine,Measurement,LOINC,Lab Test,S,1695-6,1970-01-01,2099-12-31,NA
TumorMarkerTestVS,LOINC,NA,31203-3,5-Hydroxyindoleacetate [Mass/volume] in 24 hour Urine,3023028,5-Hydroxyindoleacetate [Mass/volume] in 24 hour Urine,Measurement,LOINC,Lab Test,S,31203-3,1970-01-01,2099-12-31,NA
TumorMarkerTestVS,LOINC,NA,1692-3,5-Hydroxyindoleacetate [Mass/volume] in Cerebral spinal fluid,3014670,5-Hydroxyindoleacetate [Mass/volume] in Cerebral spinal fluid,Measurement,LOINC,Lab Test,S,1692-3,1970-01-01,2099-12-31,NA
TumorMarkerTestVS,LOINC,NA,1693-1,5-Hydroxyindoleacetate [Mass/volume] in Serum or Plasma,3021106,5-Hydroxyindoleacetate [Mass/volume] in Serum or Plasma,Measurement,LOINC,Lab Test,S,1693-1,1970-01-01,2099-12-31,NA
TumorMarkerTestVS,LOINC,NA,1694-9,5-Hydroxyindoleacetate [Mass/volume] in Urine,3021385,5-Hydroxyindoleacetate [Mass/volume] in Urine,Measurement,LOINC,Lab Test,S,1694-9,1970-01-01,2099-12-31,NA
TumorMarkerTestVS,LOINC,NA,72820-4,5-Hydroxyindoleacetate [Mass/volume] in Urine by Confirmatory method,43055680,5-Hydroxyindoleacetate [Mass/volume] in Urine by Confirmatory method,Measurement,LOINC,Lab Test,S,72820-4,2012-12-10,2099-12-31,NA
TumorMarkerTestVS,LOINC,NA,14573-0,5-Hydroxyindoleacetate [Moles/time] in 24 hour Urine,3009461,5-Hydroxyindoleacetate [Moles/time] in 24 hour Urine,Measurement,LOINC,Lab Test,S,14573-0,1970-01-01,2099-12-31,NA
TumorMarkerTestVS,LOINC,NA,25971-3,5-Hydroxyindoleacetate [Moles/volume] in 24 hour Urine,3010801,5-Hydroxyindoleacetate [Moles/volume] in 24 hour Urine,Measurement,LOINC,Lab Test,S,25971-3,1970-01-01,2099-12-31,NA
TumorMarkerTestVS,LOINC,NA,47544-2,5-Hydroxyindoleacetate [Moles/volume] in Cerebral spinal fluid,3051403,5-Hydroxyindoleacetate [Moles/volume] in Cerebral spinal fluid,Measurement,LOINC,Lab Test,S,47544-2,2006-12-11,2099-12-31,NA
TumorMarkerTestVS,LOINC,NA,74769-1,5-Hydroxyindoleacetate [Moles/volume] in Platelet rich plasma,44816667,5-Hydroxyindoleacetate [Moles/volume] in Platelet rich plasma,Measurement,LOINC,Lab Test,S,74769-1,2014-03-25,2099-12-31,NA
TumorMarkerTestVS,LOINC,NA,50149-4,5-Hydroxyindoleacetate [Moles/volume] in Serum or Plasma,3030136,5-Hydroxyindoleacetate [Moles/volume] in Serum or Plasma,Measurement,LOINC,Lab Test,S,50149-4,2007-09-06,2099-12-31,NA
TumorMarkerTestVS,LOINC,NA,15009-4,5-Hydroxyindoleacetate [Moles/volume] in Urine,3036309,5-Hydroxyindoleacetate [Moles/volume] in Urine,Measurement,LOINC,Lab Test,S,15009-4,1970-01-01,2099-12-31,NA
TumorMarkerTestVS,LOINC,NA,12172-3,5-Hydroxyindoleacetate [Presence] in 24 hour Urine,3036168,5-Hydroxyindoleacetate [Presence] in 24 hour Urine,Measurement,LOINC,Lab Test,S,12172-3,1970-01-01,2099-12-31,NA
TumorMarkerTestVS,LOINC,NA,48168-9,5-Hydroxyindoleacetate [Presence] in Urine,3052387,5-Hydroxyindoleacetate [Presence] in Urine,Measurement,LOINC,Lab Test,S,48168-9,2007-01-16,2099-12-31,NA
TumorMarkerTestVS,LOINC,NA,11145-0,5-Hydroxyindoleacetate/​Creatinine [Mass Ratio] in Urine,3012601,5-Hydroxyindoleacetate/Creatinine [Mass Ratio] in Urine,Measurement,LOINC,Lab Test,S,11145-0,1970-01-01,2099-12-31,NA
TumorMarkerTestVS,LOINC,NA,44909-0,5-Hydroxyindoleacetate and Creatinine [Interpretation] in Urine,3047303,5-Hydroxyindoleacetate and Creatinine [Interpretation] in Urine,Measurement,LOINC,Lab Test,S,44909-0,1970-01-01,2099-12-31,NA
TumorMarkerTestVS,LOINC,NA,10459-6,Alpha-1-Fetoprotein Ag [Presence] in Tissue by Immune stain,3020498,Alpha-1-Fetoprotein Ag [Presence] in Tissue by Immune stain,Measurement,LOINC,Lab Test,S,10459-6,1970-01-01,2099-12-31,NA
TumorMarkerTestVS,LOINC,NA,11207-8,Alpha-1-Fetoprotein [Mass/volume] in Body fluid,3034165,Alpha-1-Fetoprotein [Mass/volume] in Body fluid,Measurement,LOINC,Lab Test,S,11207-8,1970-01-01,2099-12-31,NA
TumorMarkerTestVS,LOINC,NA,1833-3,Alpha-1-Fetoprotein [Mass/volume] in Cerebral spinal fluid,3027634,Alpha-1-Fetoprotein [Mass/volume] in Cerebral spinal fluid,Measurement,LOINC,Lab Test,S,1833-3,1970-01-01,2099-12-31,NA
