concept_id,value_set_name,code_system,logical_definition,code,code_description,Observation,Condition,Spec Anatomic Site,Drug,Meas Value,Measurement,Specimen,"NA"
1027716,GeneticSpecimenTypeVS,http://terminology.hl7.org/CodeSystem/v2-0487,NA,SKN,Skin,[V] [N] 1027716 Skin [LOINC LP36760-4] [Observation] [LOINC System],NA,NA,NA,NA,NA,NA,NA
1032268,GeneticSpecimenTypeVS,http://terminology.hl7.org/CodeSystem/v2-0487,NA,PLC,Placenta,[V] [N] 1032268 Placenta [LOINC LP7477-5] [Observation] [LOINC System],NA,NA,NA,NA,NA,NA,NA
1033195,GeneticSpecimenTypeVS,http://terminology.hl7.org/CodeSystem/v2-0487,NA,SAL,Saliva,[V] [N] 1033195 Saliva [LOINC LP7565-7] [Observation] [LOINC System],NA,NA,NA,NA,NA,NA,NA
1033465,GeneticSpecimenTypeVS,http://terminology.hl7.org/CodeSystem/v2-0487,NA,SPT,Sputum,[V] [N] 1033465 Sputum [LOINC LP7600-2] [Observation] [LOINC System],NA,NA,NA,NA,NA,NA,NA
1033739,GeneticSpecimenTypeVS,http://terminology.hl7.org/CodeSystem/v2-0487,NA,WND,Wound,[V] [N] 1033739 Wound [LOINC LP7726-5] [Observation] [LOINC System],NA,NA,NA,NA,NA,NA,NA
1585831,GeneticSpecimenTypeVS,http://terminology.hl7.org/CodeSystem/v2-0487,NA,BON,Bone,[V] [N] 1585831 Organ Transplant Description: Bone [PPI OrganTransplantDescription_Bone] [Observation] [Answer],NA,NA,NA,NA,NA,NA,NA
1585833,GeneticSpecimenTypeVS,http://terminology.hl7.org/CodeSystem/v2-0487,NA,SKN,Skin,[V] [N] 1585833 Organ Transplant Description: Skin [PPI OrganTransplantDescription_Skin] [Observation] [Answer],NA,NA,NA,NA,NA,NA,NA
3310432,GeneticSpecimenTypeVS,http://terminology.hl7.org/CodeSystem/v2-0487,NA,MAR,Marrow,[V] [N] 3310432 Marrow [Nebraska Lexicon 227250008] [Observation] [Substance],NA,NA,NA,NA,NA,NA,NA
3311979,GeneticSpecimenTypeVS,http://terminology.hl7.org/CodeSystem/v2-0487,NA,WND,Wound,NA,[V] [N] 3311979 Wound [Nebraska Lexicon 416462003] [Condition] [Clinical Finding],NA,NA,NA,NA,NA,NA
3326584,GeneticSpecimenTypeVS,http://terminology.hl7.org/CodeSystem/v2-0487,NA,BLD,Whole blood,[V] [N] 3326584 Whole blood [Nebraska Lexicon 420135007] [Observation] [Substance],NA,NA,NA,NA,NA,NA,NA
3425620,GeneticSpecimenTypeVS,http://terminology.hl7.org/CodeSystem/v2-0487,NA,PAFL,Pancreatic fluid,[V] [N] 3425620 Pancreatic fluid [Nebraska Lexicon 17387004] [Observation] [Substance],NA,NA,NA,NA,NA,NA,NA
3432003,GeneticSpecimenTypeVS,http://terminology.hl7.org/CodeSystem/v2-0487,NA,SAL,Saliva,[V] [N] 3432003 Saliva [Nebraska Lexicon 256897009] [Observation] [Substance],NA,NA,NA,NA,NA,NA,NA
3459285,GeneticSpecimenTypeVS,http://terminology.hl7.org/CodeSystem/v2-0487,NA,WND,Wound,[V] [N] 3459285 Wound [Nebraska Lexicon 13924000] [Observation] [Morph Abnormality],NA,NA,NA,NA,NA,NA,NA
3463137,GeneticSpecimenTypeVS,http://terminology.hl7.org/CodeSystem/v2-0487,NA,BLDCO,Cord blood,[V] [N] 3463137 Cord blood [Nebraska Lexicon 12499000] [Observation] [Substance],NA,NA,NA,NA,NA,NA,NA
3470598,GeneticSpecimenTypeVS,http://terminology.hl7.org/CodeSystem/v2-0487,NA,AMN,Amniotic fluid,[V] [N] 3470598 Amniotic fluid [Nebraska Lexicon 77012006] [Observation] [Substance],NA,NA,NA,NA,NA,NA,NA
4025074,GeneticSpecimenTypeVS,http://terminology.hl7.org/CodeSystem/v2-0487,NA,MAR,Marrow,[V] [S] 4025074 Marrow [SNOMED 227250008] [Observation] [Substance],NA,NA,NA,NA,NA,NA,NA
4029919,GeneticSpecimenTypeVS,http://terminology.hl7.org/CodeSystem/v2-0487,NA,WND,Wound,[V] [S] 4029919 Wound [SNOMED 13924000] [Observation] [Morph Abnormality],NA,NA,NA,NA,NA,NA,NA
4052756,GeneticSpecimenTypeVS,http://terminology.hl7.org/CodeSystem/v2-0487,NA,BLDCO,Cord blood,[V] [S] 4052756 Cord blood [SNOMED 12499000] [Observation] [Substance],NA,NA,NA,NA,NA,NA,NA
4067914,GeneticSpecimenTypeVS,http://terminology.hl7.org/CodeSystem/v2-0487,NA,PAFL,Pancreatic fluid,[V] [S] 4067914 Pancreatic fluid [SNOMED 17387004] [Observation] [Substance],NA,NA,NA,NA,NA,NA,NA
4120374,GeneticSpecimenTypeVS,http://terminology.hl7.org/CodeSystem/v2-0487,NA,SAL,Saliva,[V] [S] 4120374 Saliva [SNOMED 256897009] [Observation] [Substance],NA,NA,NA,NA,NA,NA,NA
4164116,GeneticSpecimenTypeVS,http://terminology.hl7.org/CodeSystem/v2-0487,NA,SPT,Sputum,[V] [S] 4164116 Sputum [SNOMED 45710003] [Observation] [Substance],NA,NA,NA,NA,NA,NA,NA
4168335,GeneticSpecimenTypeVS,http://terminology.hl7.org/CodeSystem/v2-0487,NA,WND,Wound,NA,[V] [S] 4168335 Wound [SNOMED 416462003] [Condition] [Clinical Finding],NA,NA,NA,NA,NA,NA
4170424,GeneticSpecimenTypeVS,http://terminology.hl7.org/CodeSystem/v2-0487,NA,BLD,Whole blood,[V] [S] 4170424 Whole blood [SNOMED 420135007] [Observation] [Substance],NA,NA,NA,NA,NA,NA,NA
4219601,GeneticSpecimenTypeVS,http://terminology.hl7.org/CodeSystem/v2-0487,NA,SKN,Skin,NA,NA,[V] [S] 4219601 Skin structure [SNOMED 39937001] [Spec Anatomic Site] [Body Structure],NA,NA,NA,NA,NA
4289619,GeneticSpecimenTypeVS,http://terminology.hl7.org/CodeSystem/v2-0487,NA,SMN,Seminal fluid,[V] [S] 4289619 Seminal fluid [SNOMED 6993007] [Observation] [Substance],NA,NA,NA,NA,NA,NA,NA
4297445,GeneticSpecimenTypeVS,http://terminology.hl7.org/CodeSystem/v2-0487,NA,AMN,Amniotic fluid,[V] [S] 4297445 Amniotic fluid [SNOMED 77012006] [Observation] [Substance],NA,NA,NA,NA,NA,NA,NA
4299940,GeneticSpecimenTypeVS,http://terminology.hl7.org/CodeSystem/v2-0487,NA,PLC,Placenta,NA,NA,[V] [S] 4299940 Placental structure [SNOMED 78067005] [Spec Anatomic Site] [Body Structure],NA,NA,NA,NA,NA
4310109,GeneticSpecimenTypeVS,http://terminology.hl7.org/CodeSystem/v2-0487,NA,TISS,Tissue,NA,NA,[V] [S] 4310109 Body tissue structure [SNOMED 85756007] [Spec Anatomic Site] [Body Structure],NA,NA,NA,NA,NA
35844360,GeneticSpecimenTypeVS,http://terminology.hl7.org/CodeSystem/v2-0487,NA,SKN,Skin,NA,NA,NA,[V] [N] 35844360 Skin [RxNorm Extension OMOP5001105] [Drug] [Brand Name],NA,NA,NA,NA
35909713,GeneticSpecimenTypeVS,http://terminology.hl7.org/CodeSystem/v2-0487,NA,BON,Bone,[V] [N] 35909713 Bone [NAACCR bone] [Observation] [NAACCR Schema],NA,NA,NA,NA,NA,NA,NA
35909850,GeneticSpecimenTypeVS,http://terminology.hl7.org/CodeSystem/v2-0487,NA,PLC,Placenta,[V] [N] 35909850 Placenta [NAACCR placenta] [Observation] [NAACCR Schema],NA,NA,NA,NA,NA,NA,NA
35916387,GeneticSpecimenTypeVS,http://terminology.hl7.org/CodeSystem/v2-0487,NA,SKN,Skin,[V] [N] 35916387 Skin [NAACCR Skin] [Observation] [NAACCR Proc Schema],NA,NA,NA,NA,NA,NA,NA
35921675,GeneticSpecimenTypeVS,http://terminology.hl7.org/CodeSystem/v2-0487,NA,SKN,Skin,NA,NA,NA,NA,[V] [S] 35921675 Skin [NAACCR salivary_gland_other@2810@600] [Meas Value] [NAACCR Value],NA,NA,NA
35926075,GeneticSpecimenTypeVS,http://terminology.hl7.org/CodeSystem/v2-0487,NA,BON,Bone,NA,NA,NA,NA,[V] [S] 35926075 Bone [NAACCR net_adrenal_gland@776@10] [Meas Value] [NAACCR Value],NA,NA,NA
35926239,GeneticSpecimenTypeVS,http://terminology.hl7.org/CodeSystem/v2-0487,NA,SKN,Skin,NA,NA,NA,NA,[V] [S] 35926239 Skin [NAACCR bone@2810@700] [Meas Value] [NAACCR Value],NA,NA,NA
35935266,GeneticSpecimenTypeVS,http://terminology.hl7.org/CodeSystem/v2-0487,NA,SKN,Skin,NA,NA,NA,NA,[V] [S] 35935266 Skin [NAACCR tongue_base@2810@780] [Meas Value] [NAACCR Value],NA,NA,NA
