value_set_name,code_system,logical_definition,code,code_description,concept_id,concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason
UnitsOfLengthVS,http://unitsofmeasure.org,NA,pm,Picometer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UnitsOfLengthVS,http://unitsofmeasure.org,NA,nm,Nanometer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UnitsOfLengthVS,http://unitsofmeasure.org,NA,mm,Millimeter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UnitsOfLengthVS,http://unitsofmeasure.org,NA,cm,Centimeter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UnitsOfLengthVS,http://unitsofmeasure.org,NA,m,Meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UnitsOfLengthVS,http://unitsofmeasure.org,NA,ft-us,Foot,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UnitsOfLengthVS,http://unitsofmeasure.org,NA,in-us,"Prostate specific Ag/Prostate volume calculated from height, width and length",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,8478,avidity index,Unit,UCUM,Unit,S,{ai},1970-01-01,2099-12-31,NA
NA,NA,NA,NA,NA,8479,centipoise,Unit,UCUM,Unit,S,cP,1970-01-01,2099-12-31,NA
NA,NA,NA,NA,NA,8480,Ehrlich unit,Unit,UCUM,Unit,S,[EU],1970-01-01,2099-12-31,NA
NA,NA,NA,NA,NA,8481,EV,Unit,UCUM,Unit,NA,{EV},1970-01-01,2014-01-03,U
NA,NA,NA,NA,NA,8482,pH,Unit,UCUM,Unit,S,pH,1970-01-01,2099-12-31,NA
NA,NA,NA,NA,NA,8483,counts per minute,Unit,UCUM,Unit,S,{counts}/min,1970-01-01,2099-12-31,NA
NA,NA,NA,NA,NA,8484,CD59-deficient cells,Unit,UCUM,Unit,S,{CD59-deficient cells},1970-01-01,2099-12-31,NA
NA,NA,NA,NA,NA,8485,DNR,Unit,UCUM,Unit,NA,{DNR},1970-01-01,2014-01-03,D
NA,NA,NA,NA,NA,8486,EOS,Unit,UCUM,Unit,NA,{EOS},1970-01-01,2014-01-03,U
NA,NA,NA,NA,NA,8487,anti-phosphatidylserine IgG concentration (GPS) unit,Unit,UCUM,Unit,S,[GPS'U],1970-01-01,2099-12-31,NA
NA,NA,NA,NA,NA,8488,immune status ratio,Unit,UCUM,Unit,S,{ISR},1970-01-01,2099-12-31,NA
NA,NA,NA,NA,NA,8489,LIV,Unit,UCUM,Unit,NA,{LIV},1970-01-01,2014-01-03,D
NA,NA,NA,NA,NA,8490,LPU,Unit,UCUM,Unit,NA,{LPU},1970-01-01,2014-01-03,D
NA,NA,NA,NA,NA,8491,LUS,Unit,UCUM,Unit,NA,{LUS},1970-01-01,2014-01-03,D
NA,NA,NA,NA,NA,8492,Log,Unit,UCUM,Unit,NA,{log},1970-01-01,2014-01-03,D
NA,NA,NA,NA,NA,8493,MLS,Unit,UCUM,Unit,NA,{MLS},1970-01-01,2014-01-03,D
NA,NA,NA,NA,NA,8494,multiple of the median,Unit,UCUM,Unit,S,{MOM},1970-01-01,2099-12-31,NA
NA,NA,NA,NA,NA,8495,anti-phosphatidylserine IgM concentration (MPS) unit,Unit,UCUM,Unit,S,[MPS'U],1970-01-01,2099-12-31,NA
NA,NA,NA,NA,NA,8496,femtoliter platelet mean volume,Unit,UCUM,Unit,S,fL{mpv},1970-01-01,2099-12-31,NA
NA,NA,NA,NA,NA,8497,N/A,Unit,UCUM,Unit,NA,{n/a},1970-01-01,2016-03-11,D
NA,NA,NA,NA,NA,8498,RES,Unit,UCUM,Unit,NA,{res},1970-01-01,2014-01-03,D
NA,NA,NA,NA,NA,8499,REV,Unit,UCUM,Unit,NA,{rev},1970-01-01,2014-01-03,D
NA,NA,NA,NA,NA,8500,SAU,Unit,UCUM,Unit,NA,{sau},1970-01-01,2014-01-03,U
NA,NA,NA,NA,NA,8501,SGU,Unit,UCUM,Unit,NA,{sgu},1970-01-01,2014-01-03,U
NA,NA,NA,NA,NA,8502,SMU,Unit,UCUM,Unit,NA,{smu},1970-01-01,2014-01-03,U
NA,NA,NA,NA,NA,8503,DILS,Unit,UCUM,Unit,NA,{DILS},1970-01-01,2014-01-03,D
NA,NA,NA,NA,NA,8504,gram,Unit,UCUM,Unit,S,g,1970-01-01,2099-12-31,NA
NA,NA,NA,NA,NA,8505,hour,Unit,UCUM,Unit,S,h,1970-01-01,2099-12-31,NA
NA,NA,NA,NA,NA,8506,lytic unit 30 (number of cells to achieve 30% lysis of the target cells),Unit,UCUM,Unit,S,{LU30},1970-01-01,2099-12-31,NA
NA,NA,NA,NA,NA,8508,Note,Unit,UCUM,Unit,NA,{note},1970-01-01,2016-03-11,D
